Bellman-Ford-Moore — Batch Results
Generated   : 2026-04-15 16:42:58
Input file  : C:\Users\helen\Desktop\5800FinalProject_BellmanFord\tests\real_world\p2p-gnutella.txt
Test cases  : 1

  I/O Overhead (shared across all test cases)
  io_read_sec        : 0.002210 s

============================================================
TEST CASE #1
============================================================

  Graph Details
  Representation     : LIST
  Vertices           : 10876
  Edges              : 39994
  Source             : 0

  Performance
  enqueue_count          : 23089
  total_relaxations      : 26825
  enqueue_ratio          : 2.12
  max_enqueues           : 6
  elapsed_sec            : 0.020174 s

  Performance Overhead
  graph_build_sec    : 0.008424 s

  Vertex     Distance        Path from source
  51         117.0           0 → 3 → 20 → 51
  52         44.0            0 → 3 → 20 → 52
  53         112.0           0 → 3 → 20 → 53
  54         116.0           0 → 3 → 20 → 54
  55         56.0            0 → 3 → 20 → 55
  56         103.0           0 → 3 → 20 → 56
  57         128.0           0 → 3 → 20 → 57
  58         66.0            0 → 3 → 20 → 58
  59         55.0            0 → 3 → 20 → 59
  60         118.0           0 → 3 → 21 → 60
  61         104.0           0 → 3 → 21 → 61
  62         151.0           0 → 3 → 21 → 62
  63         141.0           0 → 1 → 17 → 83 → 63
  64         141.0           0 → 3 → 21 → 64
  65         64.0            0 → 10 → 144 → 519 → 1660 → 65
  66         136.0           0 → 10 → 141 → 504 → 1782 → 66
  67         111.0           0 → 3 → 21 → 67
  68         168.0           0 → 3 → 21 → 68
  69         162.0           0 → 10 → 141 → 510 → 1642 → 2425 → 265 → 1031 → 1459 → 3562 → 5310 → 1787 → 69
  70         150.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 699 → 2128 → 1503 → 70
  71         157.0           0 → 1 → 19 → 71
  72         131.0           0 → 1 → 19 → 72
  73         158.0           0 → 1 → 19 → 73
  74         156.0           0 → 1 → 19 → 74
  75         137.0           0 → 1 → 19 → 75
  76         149.0           0 → 3 → 25 → 101 → 318 → 1166 → 76
  77         71.0            0 → 10 → 137 → 493 → 1597 → 920 → 697 → 77
  78         130.0           0 → 3 → 26 → 78
  79         92.0            0 → 1 → 17 → 79
  80         119.0           0 → 10 → 137 → 493 → 1597 → 920 → 697 → 77 → 80
  81         116.0           0 → 1 → 17 → 81
  82         185.0           0 → 1 → 17 → 82
  83         124.0           0 → 1 → 17 → 83
  84         97.0            0 → 1 → 17 → 84
  85         112.0           0 → 10 → 137 → 493 → 1597 → 920 → 697 → 77 → 88 → 85
  86         81.0            0 → 3 → 23 → 113 → 86
  87         135.0           0 → 1 → 17 → 87
  88         87.0            0 → 10 → 137 → 493 → 1597 → 920 → 697 → 77 → 88
  89         114.0           0 → 3 → 26 → 89
  90         128.0           0 → 3 → 26 → 90
  91         192.0           0 → 3 → 26 → 91
  92         107.0           0 → 3 → 23 → 115 → 397 → 1353 → 92
  93         106.0           0 → 3 → 23 → 115 → 397 → 1353 → 2144 → 683 → 2056 → 93
  94         126.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2264 → 3554 → 2421 → 94
  95         192.0           0 → 3 → 26 → 95
  96         171.0           0 → 3 → 26 → 96
  97         151.0           0 → 3 → 26 → 97
  98         91.0            0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2264 → 98
  99         122.0           0 → 3 → 25 → 99
  100        71.0            0 → 3 → 25 → 100
  101        58.0            0 → 3 → 25 → 101
  102        25.0            0 → 3 → 23 → 111 → 102
  103        94.0            0 → 3 → 25 → 103
  104        81.0            0 → 3 → 25 → 104
  105        113.0           0 → 3 → 25 → 105
  106        89.0            0 → 3 → 25 → 106
  107        49.0            0 → 3 → 25 → 107
  108        108.0           0 → 3 → 23 → 108
  109        16.0            0 → 3 → 23 → 109
  110        38.0            0 → 3 → 23 → 110
  111        13.0            0 → 3 → 23 → 111
  112        49.0            0 → 3 → 23 → 112
  113        60.0            0 → 3 → 23 → 113
  114        43.0            0 → 3 → 23 → 114
  115        17.0            0 → 3 → 23 → 115
  116        36.0            0 → 3 → 23 → 116
  117        137.0           0 → 8 → 38 → 117
  118        126.0           0 → 8 → 38 → 118
  119        174.0           0 → 8 → 38 → 119
  120        172.0           0 → 8 → 38 → 120
  121        120.0           0 → 8 → 38 → 121
  122        199.0           0 → 3 → 23 → 109 → 387 → 1339 → 3342 → 122
  123        115.0           0 → 8 → 38 → 123
  124        123.0           0 → 8 → 38 → 124
  125        128.0           0 → 8 → 38 → 125
  126        189.0           0 → 8 → 38 → 126
  127        109.0           0 → 10 → 136 → 1198 → 3125 → 127
  128        92.0            0 → 10 → 137 → 493 → 1597 → 920 → 187 → 693 → 2099 → 128
  129        123.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 4077 → 851 → 129
  130        57.0            0 → 10 → 144 → 516 → 1652 → 130
  131        137.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 693 → 2099 → 131
  132        143.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 693 → 2099 → 132
  133        110.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 693 → 2099 → 133
  134        137.0           0 → 3 → 23 → 115 → 397 → 1353 → 963 → 5668 → 134
  135        196.0           0 → 3 → 26 → 89 → 272 → 985 → 2346 → 2007 → 46 → 135
  136        50.0            0 → 10 → 136
  137        34.0            0 → 10 → 137
  138        42.0            0 → 10 → 138
  139        106.0           0 → 3 → 25 → 101 → 139
  140        58.0            0 → 10 → 140
  141        28.0            0 → 10 → 141
  142        26.0            0 → 10 → 142
  143        63.0            0 → 10 → 143
  144        27.0            0 → 10 → 144
  145        201.0           0 → 10 → 137 → 493 → 1597 → 349 → 698 → 1589 → 2433 → 145
  146        76.0            0 → 3 → 23 → 109 → 387 → 1334 → 146
  147        145.0           0 → 10 → 141 → 504 → 1782 → 570 → 6043 → 2775 → 3645 → 5885 → 147
  148        124.0           0 → 3 → 26 → 89 → 148
  149        105.0           0 → 3 → 23 → 109 → 387 → 1339 → 3338 → 149
  150        172.0           0 → 3 → 20 → 54 → 150
  151        107.0           0 → 3 → 23 → 115 → 397 → 1353 → 963 → 691 → 2111 → 4433 → 151
  152        175.0           0 → 3 → 20 → 54 → 152
  153        117.0           0 → 3 → 20 → 54 → 153
  154        209.0           0 → 3 → 20 → 54 → 154
  155        94.0            0 → 8 → 39 → 155
  156        161.0           0 → 8 → 39 → 156
  157        128.0           0 → 8 → 39 → 157
  158        150.0           0 → 8 → 39 → 158
  159        82.0            0 → 8 → 39 → 159
  160        123.0           0 → 8 → 39 → 160
  161        74.0            0 → 3 → 23 → 115 → 397 → 1353 → 2144 → 161
  162        150.0           0 → 8 → 39 → 162
  163        133.0           0 → 8 → 39 → 163
  164        127.0           0 → 10 → 136 → 1198 → 3127 → 2191 → 328 → 164
  165        134.0           0 → 10 → 144 → 516 → 1652 → 130 → 448 → 5150 → 165
  166        100.0           0 → 3 → 20 → 58 → 166
  167        97.0            0 → 10 → 137 → 493 → 1597 → 920 → 1535 → 702 → 2977 → 5320 → 167
  168        156.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 1967 → 344 → 1214 → 1357 → 168
  169        89.0            0 → 3 → 20 → 58 → 169
  170        131.0           0 → 3 → 20 → 58 → 170
  171        79.0            0 → 3 → 23 → 115 → 397 → 1354 → 2354 → 171
  172        75.0            0 → 10 → 137 → 493 → 172
  173        99.0            0 → 10 → 137 → 493 → 173
  174        139.0           0 → 3 → 23 → 109 → 390 → 1348 → 3356 → 5181 → 237 → 823 → 174
  175        177.0           0 → 3 → 23 → 112 → 354 → 1300 → 175
  176        129.0           0 → 10 → 144 → 516 → 945 → 176
  177        172.0           0 → 3 → 23 → 115 → 397 → 1354 → 1391 → 3465 → 177
  178        141.0           0 → 10 → 144 → 519 → 1660 → 65 → 178
  179        172.0           0 → 3 → 21 → 62 → 179
  180        118.0           0 → 3 → 23 → 115 → 397 → 1353 → 2144 → 683 → 2056 → 180
  181        243.0           0 → 3 → 23 → 115 → 397 → 1353 → 963 → 198 → 713 → 474 → 181
  182        80.0            0 → 10 → 137 → 495 → 893 → 1072 → 182
  183        152.0           0 → 3 → 21 → 62 → 183
  184        183.0           0 → 3 → 21 → 60 → 184
  185        87.0            0 → 10 → 141 → 510 → 1642 → 1663 → 185
  186        119.0           0 → 8 → 30 → 186
  187        55.0            0 → 10 → 137 → 493 → 1597 → 920 → 187
  188        169.0           0 → 1 → 19 → 73 → 188
  189        162.0           0 → 10 → 136 → 8253 → 2006 → 1586 → 189
  190        126.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2650 → 835 → 190
  191        221.0           0 → 1 → 19 → 73 → 191
  192        116.0           0 → 3 → 23 → 109 → 387 → 1334 → 630 → 1932 → 192
  193        121.0           0 → 1 → 17 → 81 → 193
  194        213.0           0 → 10 → 144 → 516 → 1299 → 3274 → 4864 → 4903 → 2291 → 194
  195        218.0           0 → 10 → 137 → 493 → 1597 → 349 → 1258 → 5901 → 1359 → 2486 → 6168 → 4378 → 195
  196        159.0           0 → 1 → 17 → 81 → 196
  197        106.0           0 → 10 → 144 → 519 → 1660 → 65 → 197
  198        106.0           0 → 3 → 23 → 115 → 397 → 1353 → 963 → 198
  199        67.0            0 → 10 → 144 → 519 → 1660 → 65 → 199
  200        79.0            0 → 10 → 144 → 519 → 1660 → 65 → 200
  201        111.0           0 → 10 → 144 → 519 → 1660 → 65 → 201
  202        104.0           0 → 10 → 144 → 519 → 1660 → 65 → 202
  203        95.0            0 → 10 → 144 → 519 → 1660 → 65 → 203
  204        72.0            0 → 10 → 144 → 519 → 1660 → 65 → 204
  205        95.0            0 → 10 → 144 → 519 → 1660 → 65 → 205
  206        219.0           0 → 3 → 25 → 101 → 318 → 1166 → 76 → 206
  207        246.0           0 → 3 → 25 → 101 → 318 → 1166 → 76 → 207
  208        185.0           0 → 3 → 23 → 115 → 397 → 1353 → 2144 → 683 → 2056 → 223 → 786 → 208
  209        179.0           0 → 10 → 144 → 516 → 1299 → 901 → 1552 → 2011 → 209
  210        175.0           0 → 3 → 25 → 101 → 318 → 1166 → 76 → 210
  211        241.0           0 → 3 → 25 → 101 → 318 → 1166 → 76 → 211
  212        189.0           0 → 3 → 25 → 101 → 318 → 1166 → 76 → 212
  213        126.0           0 → 10 → 137 → 495 → 893 → 867 → 213
  214        198.0           0 → 3 → 26 → 89 → 272 → 985 → 2346 → 4670 → 214
  215        201.0           0 → 3 → 26 → 89 → 268 → 215
  216        152.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 862 → 216
  217        159.0           0 → 1 → 19 → 75 → 217
  218        171.0           0 → 1 → 19 → 75 → 218
  219        205.0           0 → 1 → 19 → 75 → 219
  220        132.0           0 → 3 → 23 → 115 → 397 → 1353 → 963 → 3305 → 5256 → 220
  221        92.0            0 → 3 → 23 → 109 → 387 → 1339 → 221
  222        165.0           0 → 1 → 19 → 75 → 222
  223        113.0           0 → 3 → 23 → 115 → 397 → 1353 → 2144 → 683 → 2056 → 223
  224        110.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 699 → 2128 → 224
  225        185.0           0 → 3 → 26 → 89 → 272 → 985 → 2346 → 2007 → 4291 → 225
  226        185.0           0 → 1 → 17 → 83 → 226
  227        156.0           0 → 1 → 17 → 83 → 227
  228        185.0           0 → 1 → 17 → 83 → 228
  229        152.0           0 → 10 → 141 → 510 → 1642 → 229
  230        149.0           0 → 1 → 17 → 83 → 230
  231        137.0           0 → 1 → 17 → 83 → 231
  232        140.0           0 → 10 → 144 → 519 → 1660 → 1974 → 4246 → 2691 → 232
  233        148.0           0 → 10 → 137 → 493 → 1597 → 920 → 697 → 77 → 80 → 233
  234        117.0           0 → 10 → 144 → 519 → 1660 → 3863 → 234
  235        129.0           0 → 10 → 137 → 493 → 1597 → 920 → 697 → 77 → 80 → 235
  236        182.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 699 → 2127 → 2359 → 335 → 1199 → 3135 → 236
  237        128.0           0 → 3 → 23 → 109 → 390 → 1348 → 3356 → 5181 → 237
  238        100.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2650 → 238
  239        149.0           0 → 10 → 137 → 493 → 1597 → 920 → 697 → 77 → 80 → 239
  240        128.0           0 → 10 → 137 → 493 → 1597 → 920 → 697 → 77 → 80 → 240
  241        74.0            0 → 3 → 23 → 109 → 387 → 1334 → 630 → 241
  242        148.0           0 → 1 → 17 → 87 → 242
  243        143.0           0 → 1 → 17 → 87 → 243
  244        99.0            0 → 3 → 23 → 115 → 397 → 1354 → 1760 → 904 → 244
  245        163.0           0 → 3 → 23 → 109 → 390 → 1348 → 3356 → 5181 → 237 → 825 → 526 → 245
  246        121.0           0 → 10 → 141 → 510 → 246
  247        149.0           0 → 1 → 17 → 87 → 247
  248        167.0           0 → 1 → 17 → 87 → 248
  249        193.0           0 → 3 → 26 → 91 → 249
  250        163.0           0 → 3 → 23 → 109 → 387 → 1334 → 533 → 1683 → 2308 → 250
  251        202.0           0 → 8 → 38 → 124 → 428 → 251
  252        182.0           0 → 10 → 137 → 495 → 893 → 1072 → 992 → 2774 → 252
  253        229.0           0 → 3 → 26 → 91 → 253
  254        213.0           0 → 3 → 25 → 101 → 314 → 1122 → 2980 → 685 → 2093 → 4403 → 4099 → 254
  255        282.0           0 → 3 → 26 → 91 → 255
  256        86.0            0 → 10 → 137 → 493 → 1597 → 920 → 841 → 256
  257        124.0           0 → 10 → 137 → 493 → 1597 → 2710 → 649 → 886 → 257
  258        146.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 699 → 2128 → 4034 → 1717 → 258
  259        191.0           0 → 3 → 26 → 90 → 259
  260        111.0           0 → 10 → 144 → 260
  261        105.0           0 → 10 → 137 → 495 → 893 → 261
  262        150.0           0 → 3 → 23 → 115 → 397 → 1353 → 963 → 691 → 411 → 1414 → 262
  263        121.0           0 → 10 → 137 → 495 → 893 → 261 → 935 → 2683 → 263
  264        101.0           0 → 10 → 137 → 495 → 893 → 1072 → 264
  265        81.0            0 → 10 → 141 → 510 → 1642 → 2425 → 265
  266        171.0           0 → 3 → 26 → 89 → 266
  267        146.0           0 → 10 → 137 → 493 → 1597 → 349 → 1258 → 5901 → 1359 → 267
  268        127.0           0 → 3 → 26 → 89 → 268
  269        121.0           0 → 3 → 26 → 89 → 269
  270        131.0           0 → 3 → 25 → 101 → 314 → 1121 → 270
  271        184.0           0 → 3 → 26 → 89 → 271
  272        116.0           0 → 3 → 26 → 89 → 272
  273        126.0           0 → 3 → 26 → 89 → 273
  274        211.0           0 → 3 → 26 → 89 → 274
  275        170.0           0 → 3 → 23 → 115 → 397 → 1353 → 92 → 275
  276        127.0           0 → 3 → 23 → 115 → 397 → 1353 → 92 → 276
  277        132.0           0 → 3 → 23 → 115 → 397 → 1353 → 92 → 277
  278        145.0           0 → 3 → 23 → 115 → 397 → 1353 → 92 → 278
  279        135.0           0 → 3 → 23 → 115 → 397 → 1353 → 92 → 279
  280        115.0           0 → 3 → 23 → 115 → 397 → 1353 → 92 → 280
  281        182.0           0 → 3 → 23 → 115 → 397 → 1353 → 92 → 281
  282        112.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2650 → 1919 → 282
  283        177.0           0 → 3 → 23 → 115 → 397 → 1353 → 92 → 283
  284        183.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2650 → 835 → 2389 → 284
  285        147.0           0 → 3 → 23 → 115 → 397 → 1353 → 2144 → 683 → 2056 → 93 → 285
  286        114.0           0 → 3 → 23 → 115 → 397 → 1353 → 2144 → 683 → 2056 → 93 → 286
  287        113.0           0 → 3 → 23 → 115 → 397 → 1353 → 2144 → 683 → 2056 → 93 → 287
  288        170.0           0 → 10 → 137 → 493 → 1597 → 920 → 1537 → 2497 → 4862 → 288
  289        53.0            0 → 10 → 137 → 289
  290        58.0            0 → 3 → 23 → 115 → 397 → 1354 → 290
  291        146.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 256 → 291
  292        145.0           0 → 10 → 137 → 493 → 1597 → 920 → 697 → 77 → 88 → 292
  293        105.0           0 → 10 → 137 → 493 → 1597 → 920 → 697 → 77 → 88 → 293
  294        103.0           0 → 10 → 137 → 493 → 1597 → 920 → 697 → 77 → 294
  295        111.0           0 → 10 → 137 → 493 → 1597 → 920 → 697 → 77 → 88 → 295
  296        123.0           0 → 10 → 137 → 493 → 1597 → 920 → 697 → 77 → 88 → 296
  297        147.0           0 → 10 → 137 → 493 → 1597 → 920 → 697 → 77 → 88 → 297
  298        119.0           0 → 10 → 137 → 493 → 1597 → 920 → 697 → 77 → 88 → 298
  299        147.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2264 → 3554 → 2421 → 94 → 299
  300        134.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2264 → 3554 → 2421 → 94 → 300
  301        130.0           0 → 10 → 141 → 510 → 1642 → 1663 → 2017 → 301
  302        137.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2264 → 3554 → 2421 → 94 → 302
  303        150.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2264 → 3554 → 2421 → 94 → 303
  304        103.0           0 → 10 → 137 → 493 → 1597 → 349 → 698 → 304
  305        203.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2264 → 3554 → 2421 → 94 → 305
  306        135.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2264 → 3554 → 2421 → 94 → 306
  307        166.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 693 → 2098 → 307
  308        157.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2264 → 3554 → 2421 → 94 → 308
  309        100.0           0 → 10 → 137 → 493 → 1597 → 920 → 697 → 77 → 309
  310        80.0            0 → 10 → 137 → 493 → 1597 → 920 → 697 → 77 → 310
  311        75.0            0 → 3 → 23 → 109 → 386 → 311
  312        74.0            0 → 10 → 137 → 493 → 1597 → 920 → 697 → 77 → 312
  313        95.0            0 → 3 → 25 → 101 → 313
  314        79.0            0 → 3 → 25 → 101 → 314
  315        115.0           0 → 3 → 25 → 101 → 315
  316        128.0           0 → 3 → 25 → 101 → 316
  317        147.0           0 → 10 → 137 → 493 → 1597 → 920 → 1535 → 702 → 1808 → 317
  318        97.0            0 → 3 → 25 → 101 → 318
  319        137.0           0 → 3 → 25 → 101 → 319
  320        181.0           0 → 3 → 25 → 99 → 320
  321        202.0           0 → 3 → 25 → 99 → 321
  322        190.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 699 → 2128 → 4034 → 3556 → 2721 → 322
  323        135.0           0 → 3 → 25 → 99 → 323
  324        132.0           0 → 3 → 25 → 99 → 324
  325        183.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 4804 → 3167 → 325
  326        124.0           0 → 10 → 137 → 493 → 761 → 326
  327        187.0           0 → 3 → 25 → 99 → 327
  328        114.0           0 → 10 → 136 → 1198 → 3127 → 2191 → 328
  329        122.0           0 → 10 → 137 → 493 → 1597 → 349 → 698 → 1589 → 329
  330        167.0           0 → 3 → 25 → 99 → 330
  331        131.0           0 → 3 → 25 → 99 → 331
  332        146.0           0 → 3 → 23 → 115 → 397 → 1353 → 2144 → 683 → 2056 → 93 → 287 → 332
  333        223.0           0 → 3 → 26 → 96 → 333
  334        184.0           0 → 3 → 26 → 89 → 272 → 985 → 2346 → 856 → 334
  335        151.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 699 → 2127 → 2359 → 335
  336        203.0           0 → 3 → 26 → 96 → 336
  337        174.0           0 → 10 → 141 → 510 → 1642 → 2425 → 1186 → 337
  338        248.0           0 → 3 → 26 → 96 → 338
  339        177.0           0 → 3 → 26 → 96 → 339
  340        114.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 340
  341        182.0           0 → 3 → 26 → 96 → 341
  342        159.0           0 → 10 → 137 → 493 → 1597 → 1042 → 2828 → 342
  343        91.0            0 → 3 → 25 → 106 → 343
  344        112.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 1967 → 344
  345        159.0           0 → 3 → 25 → 101 → 314 → 596 → 345
  346        128.0           0 → 3 → 25 → 106 → 346
  347        139.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 1967 → 347
  348        103.0           0 → 3 → 25 → 106 → 348
  349        72.0            0 → 10 → 137 → 493 → 1597 → 349
  350        135.0           0 → 3 → 23 → 108 → 350
  351        104.0           0 → 3 → 23 → 112 → 351
  352        85.0            0 → 3 → 23 → 112 → 352
  353        55.0            0 → 3 → 23 → 112 → 353
  354        50.0            0 → 3 → 23 → 112 → 354
  355        92.0            0 → 3 → 23 → 112 → 355
  356        148.0           0 → 3 → 23 → 112 → 356
  357        66.0            0 → 3 → 23 → 112 → 357
  358        131.0           0 → 3 → 23 → 112 → 358
  359        83.0            0 → 3 → 23 → 112 → 359
  360        155.0           0 → 3 → 23 → 113 → 360
  361        66.0            0 → 10 → 141 → 510 → 361
  362        131.0           0 → 3 → 23 → 113 → 362
  363        151.0           0 → 3 → 23 → 113 → 363
  364        115.0           0 → 3 → 23 → 113 → 364
  365        132.0           0 → 3 → 23 → 113 → 365
  366        62.0            0 → 3 → 23 → 113 → 366
  367        75.0            0 → 3 → 23 → 113 → 367
  368        132.0           0 → 8 → 38 → 118 → 368
  369        166.0           0 → 8 → 38 → 118 → 369
  370        63.0            0 → 10 → 137 → 289 → 370
  371        99.0            0 → 10 → 137 → 493 → 1597 → 920 → 187 → 693 → 1845 → 4093 → 371
  372        172.0           0 → 8 → 38 → 118 → 372
  373        153.0           0 → 8 → 38 → 118 → 373
  374        144.0           0 → 10 → 137 → 493 → 765 → 1152 → 5863 → 374
  375        158.0           0 → 8 → 38 → 118 → 375
  376        212.0           0 → 8 → 38 → 118 → 376
  377        116.0           0 → 10 → 144 → 377
  378        169.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2650 → 238 → 831 → 378
  379        91.0            0 → 10 → 137 → 493 → 1597 → 920 → 187 → 693 → 1845 → 379
  380        246.0           0 → 3 → 23 → 115 → 397 → 1354 → 1760 → 1943 → 4197 → 5663 → 5903 → 1809 → 380
  381        149.0           0 → 10 → 137 → 493 → 1597 → 349 → 698 → 304 → 381
  382        145.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2417 → 911 → 4673 → 382
  383        135.0           0 → 10 → 137 → 493 → 1597 → 920 → 1537 → 3060 → 383
  384        174.0           0 → 3 → 23 → 115 → 397 → 1353 → 963 → 3305 → 5256 → 453 → 1512 → 384
  385        107.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2264 → 3554 → 669 → 385
  386        60.0            0 → 3 → 23 → 109 → 386
  387        43.0            0 → 3 → 23 → 109 → 387
  388        104.0           0 → 3 → 23 → 109 → 388
  389        98.0            0 → 3 → 23 → 109 → 389
  390        50.0            0 → 3 → 23 → 109 → 390
  391        81.0            0 → 3 → 23 → 109 → 391
  392        79.0            0 → 3 → 23 → 109 → 392
  393        49.0            0 → 3 → 23 → 109 → 393
  394        23.0            0 → 3 → 23 → 109 → 394
  395        27.0            0 → 3 → 23 → 115 → 395
  396        106.0           0 → 3 → 23 → 115 → 396
  397        37.0            0 → 3 → 23 → 115 → 397
  398        87.0            0 → 3 → 23 → 115 → 398
  399        22.0            0 → 3 → 23 → 115 → 399
  400        65.0            0 → 3 → 23 → 115 → 400
  401        92.0            0 → 3 → 23 → 115 → 401
  402        88.0            0 → 3 → 23 → 115 → 402
  403        36.0            0 → 3 → 23 → 115 → 403
  404        73.0            0 → 3 → 23 → 115 → 404
  405        127.0           0 → 3 → 25 → 107 → 8843 → 5594 → 405
  406        167.0           0 → 8 → 38 → 123 → 406
  407        71.0            0 → 10 → 137 → 493 → 1597 → 920 → 187 → 407
  408        103.0           0 → 10 → 136 → 1198 → 3125 → 408
  409        124.0           0 → 8 → 38 → 123 → 409
  410        128.0           0 → 3 → 23 → 115 → 397 → 1353 → 963 → 3305 → 5256 → 410
  411        96.0            0 → 3 → 23 → 115 → 397 → 1353 → 963 → 691 → 411
  412        158.0           0 → 10 → 137 → 289 → 1070 → 10149 → 412
  413        144.0           0 → 3 → 23 → 112 → 358 → 413
  414        181.0           0 → 8 → 38 → 123 → 414
  415        182.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 838 → 415
  416        223.0           0 → 3 → 26 → 89 → 266 → 1015 → 416
  417        203.0           0 → 3 → 23 → 109 → 387 → 1339 → 3342 → 122 → 417
  418        140.0           0 → 10 → 137 → 495 → 893 → 1072 → 264 → 956 → 418
  419        175.0           0 → 8 → 38 → 124 → 419
  420        210.0           0 → 8 → 38 → 124 → 420
  421        145.0           0 → 3 → 23 → 115 → 397 → 1353 → 963 → 421
  422        137.0           0 → 3 → 25 → 101 → 314 → 535 → 422
  423        127.0           0 → 8 → 38 → 124 → 423
  424        125.0           0 → 10 → 137 → 493 → 1597 → 920 → 1535 → 702 → 2094 → 424
  425        157.0           0 → 8 → 38 → 124 → 425
  426        143.0           0 → 3 → 26 → 89 → 272 → 983 → 426
